Designator,Mid X,Mid Y,Rotation,Layer
CONN1,81.5134,-65.6252,0.0,top
CONN1_2,71.8508,-145.6503,0.0,top
PWR1,143.0113,-73.0,90.0,top
PWR1_2,10.55,-153.0,270.0,top
RST1,142.5613,-62.0,0.0,top
RST1_2,11.0,-142.0,180.0,top
S1,41.5134,-74.4502,8.0,top
S10,94.5613,-59.0,0.0,top
S10_2,59.0,-139.0,0.0,top
S11,94.5613,-42.0,0.0,top
S11_2,59.0,-122.0,0.0,top
S12,94.5613,-25.0,0.0,top
S12_2,59.0,-105.0,0.0,top
S13,112.5613,-61.0,0.0,top
S13_2,41.0,-141.0,0.0,top
S14,112.5613,-44.0,0.0,top
S14_2,41.0,-124.0,0.0,top
S15,112.5613,-27.0,0.0,top
S15_2,41.0,-107.0,0.0,top
S16,110.0613,-81.0,345.0,top
S16_2,43.5,-161.0,15.0,top
S17,130.012,-89.1496,330.0,top
S17_2,23.5493,-169.1496,30.0,top
S1_2,112.0479,-154.4503,352.0,top
S2,39.1475,-57.6157,8.0,top
S2_2,114.4138,-137.6157,352.0,top
S3,36.7815,-40.7811,8.0,top
S3_2,116.7798,-120.7812,352.0,top
S4,58.5005,-60.9548,3.0,top
S4_2,95.0608,-140.9548,357.0,top
S5,57.6108,-43.9781,3.0,top
S5_2,95.9505,-123.9781,357.0,top
S6,56.7211,-27.0014,3.0,top
S6_2,96.8402,-107.0014,357.0,top
S7,76.5613,-54.0,0.0,top
S7_2,77.0,-134.0,0.0,top
S8,76.5613,-37.0,0.0,top
S8_2,77.0,-117.0,0.0,top
S9,76.5613,-20.0,0.0,top
S9_2,77.0,-100.0,0.0,top
