Designator,Mid X,Mid Y,Rotation,Layer
CONN1,100.047876,-151.549756,270.0,top
MH1,151.908797,-188.792635,330.0,top
MH10,133.704181,-180.147642,345.0,top
MH11,117.266354,-173.879642,345.0,top
MH12,119.047877,-156.549755,0.0,top
MH13,89.047876,-151.049756,0.0,top
MH14,71.623363,-158.802085,3.0,top
MH15,71.047876,-171.549756,0.0,top
MH16,52.081606,-171.918013,8.0,top
MH17,44.10217,-117.296967,8.0,top
MH18,62.962452,-108.185994,3.0,top
MH19,121.047877,-99.549755,0.0,top
MH2,47.038189,-144.654595,8.0,top
MH3,95.047876,-95.249756,0.0,top
MH4,137.047877,-102.249755,0.0,top
MH5,161.547877,-104.549755,0.0,top
MH6,142.547877,-138.549755,0.0,top
MH7,161.047877,-138.549755,0.0,top
MH8,143.547877,-159.049755,0.0,top
MH9,161.047877,-168.549755,0.0,top
PWR1,162.047877,-158.549755,0.0,top
RST1,161.047877,-147.549755,270.0,top
S1,60.0,-160.0,8.0,top
S10,113.047877,-144.549755,0.0,top
S11,113.047877,-127.549755,0.0,top
S12,113.047877,-110.549755,0.0,top
S13,131.047877,-146.549755,0.0,top
S14,131.047877,-129.549755,0.0,top
S15,131.047877,-112.549755,0.0,top
S16,128.547877,-166.549755,345.0,top
S17,148.498543,-174.699368,330.0,top
S2,57.634057,-143.165443,8.0,top
S3,55.268115,-126.330886,8.0,top
S4,76.987109,-146.504514,3.0,top
S5,76.097398,-129.527812,3.0,top
S6,75.207686,-112.55111,3.0,top
S7,95.047876,-139.549756,0.0,top
S8,95.047876,-122.549756,0.0,top
S9,95.047876,-105.549756,0.0,top
